view,scope,element_id,category,near_face_w,fpp,export_dpi,view_scale,cap_applied,pad_x,pad_y,px_count,px_w,px_h,ref_du_ft,ref_dv_ft,ref_aspect,exc_umin_ft,exc_umax_ft,exc_vmin_ft,exc_vmax_ft,worst_ft,worst_px,clipped,touches_image_edge
_E_ HOSPITAL - LEVEL 1_542078,host,518886,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,169,40,15,6.695497152565736,2.37523893302901,2.8188731076529385,-0.04221297887147557,-0.2762635097515158,-0.09418810720390525,0.11033192315335327,0.11033192315335327,0.6920593736018346,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518887,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,1476,104,348,16.486594235020107,55.52331862445641,0.2969309948227454,0.12292260293025947,-0.02926311169943574,0.08453451325448214,-0.12777336140959505,0.12292260293025947,0.7710346847410764,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518888,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,309,74,25,12.132689454744536,3.9475159950937098,3.073499757777807,-0.11520494363230682,-0.21999628281821515,0.03471928673175739,0.0034026331387053688,0.03471928673175739,0.21777747673341669,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518889,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,39,6,11,0.8969048840649521,1.5798809766182842,0.5677040848892085,0.00040076473101180454,0.059247450795510304,0.12471742261229224,0.049082283353754974,0.12471742261229224,0.7822927300046343,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518890,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,128,31,12,5.419352281663578,2.006829418084891,2.7004548731577014,-0.2788432239249232,-0.19831804318312152,-0.05280782883320967,-0.04091539006884659,-0.04091539006884659,-0.25664266888889176,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518891,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,39,6,10,0.8969047563915638,1.5798724665856128,0.5677070620326307,0.019856006129032266,0.03979233707076446,0.033058399322612786,-0.018675699922511058,0.03979233707076446,0.24959829467550929,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518892,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,40,11,6,1.9372603014925858,1.0002164770176307,1.9368410199249675,-0.2182539116668636,0.034674292758609226,0.06087829561047897,-0.10454167303674922,0.06087829561047897,0.3818604255413535,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518893,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,26,5,8,0.8274775033468131,1.339714703368486,0.617652027902852,-0.1061576701802096,0.07580774982625371,-0.1772319809354599,0.11292141035556824,0.11292141035556824,0.7083019880682208,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518894,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,128,32,12,5.419352281663521,2.0068294180848056,2.700454873157788,-0.1359780063571634,-0.18175774415220758,-0.11664695583490925,0.022923736932938255,0.022923736932938255,0.14378963557421073,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518895,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,39,6,11,0.8969047563915638,1.5798724665855275,0.5677070620326613,0.0032957070982320147,0.05635263610156471,0.12864478891947329,0.045163427079216945,0.12864478891947329,0.8069272200848524,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518896,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,215,52,18,8.707945537583612,2.957489391518777,2.94437084459389,-0.23481421069777753,-0.18300446376036916,-0.04712754670947561,-0.04070254603510648,-0.04070254603510648,-0.2553076000850939,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518897,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,39,6,11,0.8968989035948312,1.5798602887111883,0.5677077334012234,-0.03659105432683418,0.0962452503234772,0.04287058917094555,0.13094980470208384,0.13094980470208384,0.8213854814208628,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518898,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,128,32,12,5.419352281663521,2.006829418084749,2.7004548731578644,-0.15641550685438688,-0.1613202436549841,0.02475016641710681,-0.11847338531902096,0.02475016641710681,0.15524595400513982,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518899,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,39,7,11,0.8968987758907474,1.5798517786874982,0.5677107105806273,0.14228970370049865,0.07679013659873135,0.11063708247104387,0.0631918214256757,0.14228970370049865,0.8925152430823453,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518900,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,410,97,31,15.904290925006705,5.037812345407929,3.156983594179287,-0.2552457306941278,-0.18477008425162467,-0.0729264912657186,-0.022694839586677062,-0.022694839586677062,-0.1423538720205159,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518901,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,37,6,10,0.8968989035947175,1.5798602887110746,0.5677077334011923,-0.034825433835692365,0.09447962983233538,0.017071644614873094,-0.002676767340233255,0.09447962983233538,0.5926255209837878,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518902,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,129,32,12,5.419352281663635,2.006829418084749,2.7004548731579208,-0.15464988636324506,-0.1630858641462396,-0.001048778139136175,-0.09267444076277798,-0.001048778139136175,-0.006578483554655773,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518903,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,38,7,11,0.8968987758907474,1.5798517786873845,0.5677107105806681,0.14405532419164047,0.07502451610747585,0.08483813791480088,0.08899076598203237,0.14405532419164047,0.903590135789688,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518904,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,226,55,19,9.021351771621426,3.048089015002745,2.959674644414314,-0.09405459360419854,-0.1588937650960247,-0.02210830459949875,0.003104104969565924,0.003104104969565924,0.01947056553927969,False,False
